ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
86,4.0164000000000004e-05,4.670232558139535e-07,6.4447e-05,7.493837209302325e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/expr.py', 125, '_from_pyexpr')"
3,9.825e-06,3.275e-06,1.2525000000000001e-05,4.175000000000001e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/csv/_utils.py', 9, '_check_arg_is_1byte')"
2,1.4164e-05,7.082e-06,6.164e-05,3.082e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/string.py', 85, 'to_datetime')"
2,3.407e-06,1.7035e-06,4.994e-06,2.497e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/expr.py', 9800, 'str')"
2,1.587e-06,7.935e-07,1.587e-06,7.935e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/string.py', 37, '__init__')"
1,1.0973000000000001e-05,1.0973000000000001e-05,0.001688954,0.001688954,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 1603, 'collect')"
1,6.508e-06,6.508e-06,0.000153119,0.000153119,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 2728, 'select')"
24,9.8887e-05,4.120291666666667e-06,0.00077687,3.236958333333333e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 3849, 'with_columns')"
14,5.156e-05,3.682857142857143e-06,0.00046247300000000003,3.3033785714285714e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 4002, 'with_columns_seq')"
1,4.928e-05,4.928e-05,0.000511753,0.000511753,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 258, '__apply_column_expressions__')"
3,1.1320000000000001e-06,3.773333333333334e-07,1.1320000000000001e-06,3.773333333333334e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/deprecation.py', 141, '_rename_keyword_argument')"
1,1.72e-06,1.72e-06,9.608e-06,9.608e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/selectors.py', 128, '_expand_selectors')"
41,2.7326000000000002e-05,6.664878048780489e-07,4.1224000000000004e-05,1.0054634146341465e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 306, '_from_pyldf')"
39,5.1794000000000006e-05,1.3280512820512823e-06,0.00044322100000000004,1.1364641025641027e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_parse_expr_input.py', 50, '_parse_positional_inputs')"
3,1.4432e-05,4.810666666666667e-06,0.001989311,0.001989311,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/deprecation.py', 128, 'wrapper')"
1,4.943e-06,4.943e-06,9.177e-06,9.177e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_wrap.py', 12, 'wrap_df')"
42,3.4512000000000004e-05,8.217142857142858e-07,6.7339e-05,1.6033095238095239e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_wrap.py', 24, 'wrap_expr')"
1,4.413e-06,4.413e-06,7.14e-06,7.14e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/utils/_wrap.py', 16, 'wrap_ldf')"
1,6.443000000000001e-06,6.443000000000001e-06,2.4883000000000002e-05,2.4883000000000002e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/dataframe/frame.py', 7958, 'lazy')"
