ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,2.9850000000000002e-06,2.9850000000000002e-06,2.9850000000000002e-06,2.9850000000000002e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/validations.py', 128, '<listcomp>')"
1,6.582300000000001e-05,6.582300000000001e-05,0.028796281000000003,0.028796281000000003,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/data_loaders/data_exporter.py', 56, 'collect')"
1,2.033e-05,2.033e-05,0.004482744,0.004482744,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 323, '__process_lazy_frame__')"
16,7.208e-06,4.505e-07,9.331000000000001e-06,5.831875000000001e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/pydantic/_internal/_model_construction.py', 221, '__instancecheck__')"
1,6.213e-05,6.213e-05,0.000355896,0.000355896,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 309, '__add_empty_columns_for_missing_focus_columns__')"
1,2.0115e-05,2.0115e-05,3.2542e-05,3.2542e-05,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/validations.py', 126, 'validate_lazy_frame_columns')"
10,1.9779e-05,1.9779e-06,0.001292694,0.0001292694,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/sql/context.py', 193, 'execute')"
1,0.00023283800000000002,0.00023283800000000002,0.0018560960000000002,0.0018560960000000002,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 251, '__apply_sql_queries__')"
3,6.519000000000001e-06,2.173e-06,7.242300000000001e-05,2.4141e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/pydantic/main.py', 478, 'model_validate')"
17,1.1785000000000002e-05,6.932352941176472e-07,9.4456e-05,5.5562352941176476e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 626, 'columns')"
8,0.000125893,1.5736625e-05,0.00037212400000000004,4.6515500000000006e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 668, 'schema')"
4,8.84e-07,2.21e-07,8.84e-07,2.21e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/string.py', 2467, '_validate_format_argument')"
1,6.97e-06,6.97e-06,0.000103295,0.000103295,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 4100, 'drop')"
10,1.4412e-05,1.4412e-06,0.000278889,2.78889e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/sql/context.py', 274, 'register')"
1,5.3987e-05,5.3987e-05,0.00256498,0.00256498,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 276, 'apply_plan')"
45,3.0425e-05,6.761111111111112e-07,0.000166016,3.6892444444444446e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/col.py', 147, '__new__')"
4,1.144e-06,2.86e-07,1.144e-06,2.86e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 16, '<genexpr>')"
2,7.3e-07,3.65e-07,7.3e-07,3.65e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 100, 'managed_file')"
1,2.6300000000000002e-06,2.6300000000000002e-06,5.108e-06,5.108e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 15, '_is_glob_pattern')"
89,3.8806e-05,4.3602247191011236e-07,5.869e-05,6.594382022471911e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/expr.py', 125, '_from_pyexpr')"
10,1.9093e-05,1.9093e-06,2.5634000000000002e-05,2.5634000000000003e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/sql/context.py', 68, '__init__')"
3,9.812e-06,3.270666666666667e-06,1.1641000000000001e-05,3.880333333333333e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/csv/_utils.py', 9, '_check_arg_is_1byte')"
4,1.8744000000000002e-05,4.6860000000000005e-06,7.764100000000001e-05,1.9410250000000003e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/string.py', 85, 'to_datetime')"
